,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf
205,2025,Q2,21.0,2,"Okay. Thanks. And maybe just one more on the regulatory front. I think regulators look at reducing the SLR as a way to encourage banks or open up an avenue to expand your balance sheets into lower risk assets. Do you see that, is it really just a supply issue or how do you think about the demand-supply dynamic, and is there really opportunities for you to grow? I would imagine, I guess, with an SLR not being constrained, maybe it's better return in lower margin areas. Just your thoughts. All right. Thanks for the color. Okay. Thanks. And maybe just one more on the regulatory front. I think regulators look at reducing the SLR as a way to encourage banks or open up an avenue to expand your balance sheets into lower risk assets. Do you see that, is it really just a supply issue or how do you think about the demand-supply dynamic, and is there really opportunities for you to grow? I would imagine, I guess, with an SLR not being constrained, maybe it's better return in lower margin areas. Just your thoughts. All right. Thanks for the color.","And I’m like a broken record. It's not SLR, it's LCR, it's G-SIFI, it's CCAR, it's Basel IV, the gold plating. You really got to step back and look at all of them, and how you use the discount window, et cetera. And even how you measure liquidity which is different in one measure than it is in resolution recovery. They should look at all of that if they really want to fix the system.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
206,2025,Q2,21.0,3,"Okay. Thanks. And maybe just one more on the regulatory front. I think regulators look at reducing the SLR as a way to encourage banks or open up an avenue to expand your balance sheets into lower risk assets. Do you see that, is it really just a supply issue or how do you think about the demand-supply dynamic, and is there really opportunities for you to grow? I would imagine, I guess, with an SLR not being constrained, maybe it's better return in lower margin areas. Just your thoughts. All right. Thanks for the color. Okay. Thanks. And maybe just one more on the regulatory front. I think regulators look at reducing the SLR as a way to encourage banks or open up an avenue to expand your balance sheets into lower risk assets. Do you see that, is it really just a supply issue or how do you think about the demand-supply dynamic, and is there really opportunities for you to grow? I would imagine, I guess, with an SLR not being constrained, maybe it's better return in lower margin areas. Just your thoughts. All right. Thanks for the color.",Thanks. Operator: Thank you. Next we will go to the line of Ken Usdin from Autonomous. You may proceed.,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
210,2025,Q2,22.0,1,"Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity. Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity.",So far.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
211,2025,Q2,22.0,2,"Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity. Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity.","Going fine. We're happy. In terms of the strategic aspects of this and the competitive landscape, I think the way we think about this is, as a normal course refresh of one of our important products and the way that all of our products get refreshed periodically. Obviously, this is a relatively high profile product. Many of us have the card, we see the ads everywhere. So, it sort of punches above its weight in that respect in terms of visibility. In terms of the competitive landscape, I think a thing that we feel really great about is the dramatic increase in the customer value proposition associated with the card. And in particular, one of the things that we look at is the ratio of the customer value to the annual fee which is clearly market leading at this point. So...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
212,2025,Q2,22.0,3,"Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity. Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity.","I got a lot of comments that people – from friends of my kids and stuff like that, that man, you have got to raise the card but you have to keep it for the LaGuardia lounge; and that's the value added. Jeremy Barnum Chief Financial Officer, JPMorganChase And then some. Theres a lot of value added.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
213,2025,Q2,22.0,4,"Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity. Thanks. Good morning. First question is, I just wanted to ask you about the recent Sapphire price changes and just what you're seeing in terms of initial response and just how that fits in strategically with the competitive landscape on card and your growth opportunity.","Yeah. And obviously, I mean, we're not going to talk too much about competitors. But as you know, the card space is very competitive and very dynamic. So, we exist in a competitive landscape, and this is our best foot forward on this product at this moment in time.","Chief Financial Officer, JPMorganChase",Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
218,2025,Q2,23.0,1,"Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot. Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot.","Good question. Honestly, I think it's kind of all of the above, basically. No question that the tone shifted. Obviously, it shifted in Investment Banking. I think I personally was a little bit surprised by the resilience of the Markets revenues in the second half of the quarter, because I was sort of expecting a little bit of an offset between the two.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
219,2025,Q2,23.0,2,"Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot. Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot.",I was not surprised. Jeremy Barnum,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
220,2025,Q2,23.0,3,"Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot. Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot.","But it's not like I thought it would do badly, but it sort of did quite well in the volatility in the first half of the quarter, and then it got quiet, but despite that we still did nicely. And I think the point actually sort of to your question is that, yes, we are seeing opportunities to deploy capital and other resources; and yeah, maybe at the margin that does contribute a little bit to durability. We've talked over time about the Markets revenues and the dramatic increase. Obviously, 2019 is a long time ago at this point, and we should expect those revenues to grow with GDP anyway, but we worried a lot in certain moments about the revenues dropping back to some old run rate, and then we kind of stopped worrying about that. And now, of course, they've gone up to new highs, so maybe we should be worried again. But a thing I like to remind myself of, to your point is that, while the revenues have gone up a lot, the resource usage has also gone up a lot. So, we are deploying a lot of capital and other resources in this business, and we're earning good returns on it, but the revenue growth is not coming for free. So, it's us running the place, basically.","Chief Financial Officer, JPMorganChase",Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
221,2025,Q2,23.0,4,"Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot. Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot.",Thanks a lot. Operator: Thank you. Next we will go to the line of Matt O'Connor with Deutsche Bank. Your line is open.,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
222,2025,Q2,23.0,5,"Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot. Got it. It is quite a nice lounge. On the trading side, just wondering how much – the strong results this quarter, the quarter changed a lot from April to June. And I'm just wondering, how much you think that was environmental? Has it calmed down at all? And also, how much is just your ability to kind of use the balance sheet to boost results also, could that make it more sustainable regardless of what the environment is doing? Thanks a lot.","Matt, you've got some major static on the line. I don't know if we're going to be able to hear you. Just give it a shot. Give it a shot.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
228,2025,Q2,24.0,1,Can you hear me better now?,"Not really, but let's try. Let's try.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
230,2025,Q2,25.0,1,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.","I think if I heard the question correctly, you were asking...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
231,2025,Q2,25.0,2,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.",Are you offsetting tariff pressure with pressure on loans or deposits. The answer is no.,Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
232,2025,Q2,25.0,3,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.","The answer is no, yeah.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
233,2025,Q2,25.0,4,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.","I wish we could say more about it, but we think the answer is no.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
234,2025,Q2,25.0,5,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.","No, I mean there's always pressure in some of those...",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
235,2025,Q2,25.0,6,"I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you. I just wanted to ask about any pressure from commercial and corporate customers to try to offset the tariff impact from regional banks that pointed to deposit pricing pressure on the commercial side, and if you're seeing any signs of that or more broadly speaking? Thank you.","It's a competitive market, right? There is ongoing – deposits are very, very competitive, and there are always pricing conversations as there should be. It's hard to know in any given moment what's driving it, but I haven't heard anything to support a tariff linked narrative. Operator: Thank you. Next we will go to the line of Glenn Schorr with Evercore. Your line is open.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
242,2025,Q2,26.0,1,"Hi, thanks. Just two quick follow ups. On the conversation about the noticeably upbeat robust pipelines, I know we've been here before and markets can giveth and taketh away, but there is a time value in there, meaning corporates and more importantly sponsors need to get stuff done. There is a ton of dry powder. So I'm curious if there's a higher level of confidence, meaning if the market doesn't take from us, is it really happening this time? We've been kind of waiting for these pipelines to come through in fuller force for a couple of years now. Does it feel more doable as long as the market doesn't take the rug out from under us? Hi, thanks. Just two quick follow ups. On the conversation about the noticeably upbeat robust pipelines, I know we've been here before and markets can giveth and taketh away, but there is a time value in there, meaning corporates and more importantly sponsors need to get stuff done. There is a ton of dry powder. So I'm curious if there's a higher level of confidence, meaning if the market doesn't take from us, is it really happening this time? We've been kind of waiting for these pipelines to come through in fuller force for a couple of years now. Does it feel more doable as long as the market doesn't take the rug out from under us?","I think it separates sponsor-owned companies from IPOs. There are companies going public, they're in the pipeline, they want to go public, et cetera. Sponsors are still, at least from what I can tell anecdotally, still reluctant to use the public markets. There obviously maybe more of it, but it hasn't been a mountain of stuff coming out.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
243,2025,Q2,26.0,2,"Hi, thanks. Just two quick follow ups. On the conversation about the noticeably upbeat robust pipelines, I know we've been here before and markets can giveth and taketh away, but there is a time value in there, meaning corporates and more importantly sponsors need to get stuff done. There is a ton of dry powder. So I'm curious if there's a higher level of confidence, meaning if the market doesn't take from us, is it really happening this time? We've been kind of waiting for these pipelines to come through in fuller force for a couple of years now. Does it feel more doable as long as the market doesn't take the rug out from under us? Hi, thanks. Just two quick follow ups. On the conversation about the noticeably upbeat robust pipelines, I know we've been here before and markets can giveth and taketh away, but there is a time value in there, meaning corporates and more importantly sponsors need to get stuff done. There is a ton of dry powder. So I'm curious if there's a higher level of confidence, meaning if the market doesn't take from us, is it really happening this time? We've been kind of waiting for these pipelines to come through in fuller force for a couple of years now. Does it feel more doable as long as the market doesn't take the rug out from under us?","Yeah. I think that's right in the IPO space at least for now. But I have heard some things to support some elements of your narrative Glenn, the effect of that – now, there is pressure to kind of recycle capital and get things done. And yeah, sure, after the initial shock of tariff policy changes, everyone kind of went on hold. But as we've noted in our comments a few times today, at a certain moment you just have to move on with life, and it does feel like some of that is happening just because you can't delay forever.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
246,2025,Q2,27.0,1,"I hear you. The follow-up on the capital conversation, obviously impressive to see big returns on even higher capital bases. But there's more to come, and I think trend is your friend on dereg. So the question is, you keep making a lot of money, your capital base keeps rising. You've talked about arresting the growth of CET1 in the past, but I guess my blunt question is, is there any valuation limitation towards that arresting of CET1? I hear you. The follow-up on the capital conversation, obviously impressive to see big returns on even higher capital bases. But there's more to come, and I think trend is your friend on dereg. So the question is, you keep making a lot of money, your capital base keeps rising. You've talked about arresting the growth of CET1 in the past, but I guess my blunt question is, is there any valuation limitation towards that arresting of CET1?","Okay. Wait, I want to say a couple of things, and then I want to clarify an aspect of your question, Glenn. So first, on arresting the growth, what I actually said, not to nitpick on you, but I said arresting the growth of excess capital which I agree is reasonable to interpret as keeping a roughly constant CET1. As it happened this quarter, you see the CET1 actually dropping about 40 basis points, and that was in no small part a function of significant late quarter growth in RWA usage which we were frankly like very happy to see, in fact. So, that's all to the good in some sense. Now the other part of your question, can you just repeat it? I want to make sure I understand it.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
248,2025,Q2,28.0,1,"I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you. I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you.","Meaning, would we go back to a moment of reducing buybacks and starting to build again if the stock gets even more expensive? I mean, I think that's the question for the boss, but I don't know, I guess, we always reserve the right to do whatever we want on buybacks basically.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
249,2025,Q2,28.0,2,"I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you. I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you.","We reserve the right. We're not going to tell you. But obviously, as stock price – I mean, don't like buying back the stock at almost three times tangible book. No one's going to convince me that's a brilliant thing to do, but it is wise to use our balance sheet for customers, which we're doing, and we can possibly do more. And it is probably wise to not increase the excess capital anymore since we have plenty and it's going be going up. Look, I'm completely convinced if you take out of your mindset 12 months, we will use the capital wisely for shareholders.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
250,2025,Q2,28.0,3,"I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you. I'm just curious if there's a valuation limitation to the thinking, meaning as valuation goes up, do you keep buying back stock? You always do. All right. Thank you.","The best way is organic growth, which I wouldn't rule out that we can find more ways to grow clients basically. Operator: Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. Your line is open.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
254,2025,Q2,29.0,1,"Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up... Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up...","Jeremy can answer this, but this will be an important point. The value to shareholders is that we can not just earn 17% ROTCE and that we can reinvest money at 17% ROTCE. That's the value. If you're just going to earn 17%, you’re a bond. You will trade three times tangible book, but that's it for the rest of your life. And so, the goal is to find opportunities to grow and expand your business, which we are doing. If you look at it, we are doing that with branches and bankers and internationally. And when you look at the midcap business we're doing in Europe, it's been great. Innovation Economy has been great. We're gaining shares in lot of places, Chase Wealth Management and the Private Bank, the International Private Bank, payment systems. We’re investing in all those things to grow our franchises and that's the best way to use your capital. And forget the timetable of that. That is the best way to use it.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
255,2025,Q2,29.0,2,"Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up... Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up...","Yeah. And Gerard, I guess on your other question, it's an interesting question. I don't think the answer is really knowable, and I feel like it's kind of all of the above. Let me say what I mean. Like, on the one hand, I think if you look at the current market environment, it's hard to imagine a set of conditions that would be any better for us, right. Rates are at a good level for us, deal activity is high, capital markets are very strong, consumer credit is excellent, wholesale credit is excellent, wealth management, asset management, essentially every part of the company is firing. We're essentially firing on all cylinders, with some very minor exceptions of certain businesses that are extremely rate sensitive, like Home Lending, where they're still doing a great job in what is a very tough market. So when you see that, you're like, well, that's not normal. Normally, you would have some pockets doing a little better, some pockets doing a little worse; and that's part of what makes you think that some aspects of this are maybe not sustainable. On the other hand, it's also true that core elements of the strategy are working very well, and we've been investing for a long time very successfully and kind of leaning in even in moments where from the outside there wasn't that much appetite for us to be investing in all of the things that Jamie's talking about. Some of those investments in various ways are paying off. So...",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
256,2025,Q2,29.0,3,"Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up... Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up...","You have – all of our major bank competitors are back and growing and expanding. You have the fintech folks who are quite capable and quite smart who want to take big chunks of your business. Everything we do is kind of competitive around the world. So the notion that somehow we're not going deal with our competitors, which protects JPMorganChase, we don't get complacent, we don't get arrogant, we don't get bureaucratic. And we keep on finding that you got to have to fight for it every day. And so, we're quite cautious to just declare victory like somehow we're entitled to these returns forever. Also pointed out, if you could compound at 17%, actually I had Jeremy do his number one point, if you compounded 17% for 20 years, you probably would have a good chunk of the GDP of United States of America, for 40 years maybe.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
257,2025,Q2,29.0,4,"Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up... Hi, Jeremy. Hi, Jamie. I'd like to circle back to the return on tangible common equity topic that you guys have discussed. Obviously, you had a very strong number this quarter, 20% when you adjusted for the one-time effect. And you go back to your Investor Day and you pointed out 17% is what the targeted level is. And if you turn back the clock and go back to 2020, you had the same 17% goal for the ROTCE, but your CET1 ratio back then was – excuse me, guidance was 11.5% to 12%. So my question is, has the business for you folks changed so much that now it's just inherently a more profitable business? Or are there some one-time – not one-time items, but are there some tailwinds that are artificially – I hate to use that word, but are they inflating the ROTCE which is why you guys are very cautious about lifting that goal from 17%? Jeremy, I'm glad you're still using HP 12C, that's good. Just as a follow-up...",Yeah. I always have to go put new batteries in my HP 12C when you ask me that question. All right. Yeah.,Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-2q25-earnings-call-transcript-checkpoint.pdf
